STULS,ESCS,DISCLIMA,TEACHSUP,DIRINS,PERFEED,EMOSUPS,STIMREAD,ADAPTIVITY,TEACHINT,PERCOMP,PERCOOP,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,EUDMO,SWBP,RESILIENCE,MASTGOAL,BELONG,BEINGBULLIED,gender,TEACHBEHA,SBHL,PV1READ
5,1.1019,2.0345,-0.9734,-1.3309,-0.0008,-1.7696,-0.62,-0.5786,-0.8262,-0.043,-1.7176,-0.6583,-0.5707,-0.1015,0.4637,-0.9827,-1.566,-1.4832,0.7181,-0.5582,-0.7823,1,1.6556,1,1
6,0.2196,0.4922,1.314,0.5467,2.0165,1.0346,2.0871,1.1853,1.8245,0.6912,-0.5107,1.0844,-0.2047,-0.6545,0.4637,-0.9827,-0.5928,-1.0884,0.1447,-1.0654,-0.7823,1,0.6592,1.3333334,1
6,1.067,0.7767,0.1694,-0.3275,-0.3253,1.0346,0.0205,-0.1716,0.1744,0.6912,0.6012,1.0844,0.1956,-0.1015,0.4637,-0.3121,-1.1176,-0.4684,0.3468,-0.8548,-0.7823,1,-0.5582,1,1
4,-1.1023,-0.4003,-0.5973,0.0351,0.5121,-0.6576,0.4798,-0.1687,-0.8687,-1.4753,0.6012,0.4667,-0.5707,0.1187,0.3335,-0.9827,-0.0214,-0.8579,0.3468,-0.4415,-0.7823,1,0.7512,1,1
8,1.6441,0.4922,1.314,1.1049,0.7743,-2.4468,1.3517,2.0073,1.8245,0.202,1.6762,1.0844,0.1956,0.5693,-0.4342,1.7411,0.5012,-0.4957,-0.3378,0.9683,-0.7823,1,-2.0409,1.3333334,1
7,1.136,2.0345,0.7015,0.0345,-0.3253,1.0346,0.6118,0.5437,0.9684,1.563,1.6762,0.0083,1.2643,-0.1015,-0.4342,-0.9827,1.2386,-0.0328,0.0453,0.1899,-0.7823,1,1.6642,1,1
8,1.1987,2.0345,0.7628,0.7198,2.0165,1.0346,2.0871,2.0073,1.8245,0.9011,1.3256,0.4626,2.0054,1.8164,-0.1558,-0.9827,1.2386,-0.2056,-0.7453,0.3528,-0.7823,2,-0.7833,1,1
5,0.9055,-0.8222,-0.8566,-1.6456,-0.99,-0.6576,-0.7695,-0.5754,-1.2655,0.202,-2.1428,-1.4024,0.1956,-1.071,0.4637,-0.3121,-0.5928,-0.0614,-0.4347,-1.0499,0.2907,1,1.6299,1,1
6,0.2009,1.3671,0.7015,-0.5338,-0.3253,0.2127,0.5102,0.8329,0.1744,-0.043,0.6012,-0.6117,0.6314,1.8164,-0.4342,0.2621,0.7301,-0.0614,-0.5266,-0.6659,-0.7823,2,-0.7733,1,1
9,1.0328,0.396,1.314,1.8202,-0.3253,-0.6576,0.5102,0.4572,0.1744,0.6912,1.6762,0.4667,0.1956,-0.1015,-0.4342,0.2621,-0.5928,-0.0614,0.3468,-0.0553,-0.7823,2,0.933,1,1
10,0.6721,1.2471,1.314,1.8202,0.7743,1.0346,2.0871,2.0073,1.8245,-1.9892,1.6762,1.0844,0.7871,1.8164,-0.2006,0.2621,0.1869,0.3858,-1.9222,0.6818,-0.7823,1,0.6479,1,1
8,-1.2778,2.0345,-0.8065,0.373,-0.3253,-0.6576,1.1506,-0.5786,0.1744,0.6912,0.6012,0.0083,0.6314,-0.1015,0.4637,0.2621,-0.5928,-0.0614,0.4683,-0.6869,-0.7823,1,-0.5111,1,1
7,1.4206,0.871,0.3995,0.4301,-0.3253,1.0346,1.4931,0.1888,0.1744,0.6912,1.6762,0.4667,2.0054,-0.1015,-0.4342,-0.0193,-1.3186,-0.4684,0.0337,-0.445,0.2907,2,2.2703,1,1
5,0.2001,1.1945,0.7015,0.0351,-0.3253,0.3622,0.7551,0.5437,-0.3196,0.2865,-0.1855,0.4667,0.3709,-0.6545,-0.7592,-0.6723,0.1869,-0.5319,-0.5266,0.1008,-0.7823,1,-0.7767,1,1
8,0.5252,-0.0424,-0.5575,-0.0424,-1.6391,-0.6576,-0.0073,-0.474,-1.184,0.6912,0.6012,1.0844,2.0054,0.5693,0.4637,-0.3121,-0.5928,-0.0614,0.2549,0.4581,-0.7823,2,0.933,1.3333334,1
10,1.3691,2.0345,1.314,1.1049,0.5121,1.0346,2.0871,1.1813,1.8245,-0.6142,1.3256,1.0844,0.7871,0.9982,-0.4342,-0.3121,0.5012,-0.0614,-0.3152,0.0348,-0.7823,1,1.6842,1,1
